|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 20: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 20: 165813		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 21: 19601103		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 21: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 21: 220219		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 22: 19601111		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 22: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 22: 065327		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 23: 19601120		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 23: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 23: 220156		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 24: 19601129		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 24: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 24: 191706		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 25: 19601217		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 25: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 25: 073831		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 26: 19601222		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 26: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 26: 034721		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 27: 19601230		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 27: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 27: 110336		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	   Error al parsear la fecha UTC en la línea 28: 19610108		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 28: 20223006		|
