"ID","FECHA_UTC","HORA_UTC","LATITUD","LONGITUD","PROFUNDIDAD","MAGNITUD","FECHA_CORTE"
"103","19630625","104531","-15.9","-75.2","33","4.7","20223006"
"104","19630627","131515","-11.7","-77.6","33","4.7","20223006"
"105","19630630","110949","-7.3","-75.2","43","4.8","20223006"
"106","19630630","124356","-8.8","-77.9","94","4.7","20223006"
"107","19630705","054813","-11.6","-77.5","55","6","20223006"
"108","19630705","142924","-3.2","-77.8","65","4.7","20223006"
"109","19630710","114735","-16.3","-72.2","90","4.6","20223006"
"110","19630722","163322","-12.5","-73.7","79","4.9","20223006"
"111","19630726","234826","-9.7","-78.5","62","5.3","20223006"
"112","19630801","183026","-15","-71.8","100","4.6","20223006"
"113","19630804","120724","-4.1","-80.9","34","5.1","20223006"
"114","19630805","084659","-9.9","-79","31","5.2","20223006"
"115","19630815","143601","-10","-78.6","80","4.9","20223006"
"116","19630815","172506","-13.8","-69.3","543","7.8","20223006"
"117","19630818","230754","-14.2","-71.9","31","5","20223006"
"118","19630827","125655","-17.7","-70.1","158","4.7","20223006"
"119","19630829","153031","-7.1","-81.6","23","7","20223006"
"120","19630831","103030","-15.9","-74.4","53","4.6","20223006"
"121","19630902","041018","-14.1","-76.4","41","4.9","20223006"
"122","19630910","073608","-14.6","-73.6","176","4.5","20223006"
"123","19630917","055436","-10.783","-78.269","61","6.7","20223006"
"124","19630920","040036","-11.3","-77.6","33","4.9","20223006"
"125","19630924","163016","-10.754","-78.239","80","6.2","20223006"
"126","19631006","121047","-9","-75","82","4.6","20223006"
"127","19631007","124353","-12.9","-76.8","69","5.7","20223006"
"128","19631019","021417","-18.3","-71.2","78","4.9","20223006"
"129","19631027","074526","-14.7","-71.7","121","4.7","20223006"
"130","19631028","025030","-13.6","-76.9","38","4.6","20223006"
"131","19631030","011731","-4.8","-77.9","20","5.6","20223006"
"132","19631031","231915","-4.9","-77.7","60","4.9","20223006"
"133","19631102","160713","-12.5","-74.7","105","4.8","20223006"
"134","19631103","031012","-3.5","-77.8","18","6.2","20223006"
"135","19631103","042448","-4.3","-78.3","146","4.7","20223006"
"136","19631103","073810","-15.6","-73.3","112","5.2","20223006"
"137","19631103","120228","-3.7","-78.3","33","4.9","20223006"
"138","19631104","032930","-15","-75.8","52","4.5","20223006"
"139","19631106","010107","-12.8","-73.9","86","4.9","20223006"
"140","19631106","012846","-4.2","-77.7","170","4.6","20223006"
"141","19631106","183325","-16.7","-69.7","174","5.1","20223006"
"142","19631108","192254","-3.7","-78.2","33","4.9","20223006"
"143","19631109","211532","-9.127","-71.483","591","7.6","20223006"
"144","19631110","010039","-8.976","-71.171","594","6.3","20223006"
"145","19631112","122645","-15.8","-72.4","33","4.5","20223006"
"146","19631115","001852","-4.7","-76.8","152","4.8","20223006"
"147","19631118","071750","-16.5","-74.5","54","4.8","20223006"
"148","19631119","223658","-18.6","-72.2","33","4.9","20223006"
"149","19631127","021941","-16.6","-72.1","79","5.3","20223006"
"150","19631129","015845","-15.1","-73.7","124","5.1","20223006"
"151","19631204","031307","-8.3","-81.1","33","5","20223006"
"152","19631204","042122","-7.1","-80.4","45","4.9","20223006"
"153","19631206","181432","-7.1","-80.5","33","4.9","20223006"
"154","19631210","072636","-8.7","-79.8","33","4.9","20223006"
"155","19631218","014213","-7.4","-76","33","4.5","20223006"
"156","19631219","145443","-8.3","-80.8","33","4.8","20223006"
"157","19631219","170407","-9.7","-79.1","56","5.4","20223006"
"158","19631220","104804","-5.2","-80.8","55","5.5","20223006"
"159","19631224","024042","-6.6","-81.44","13","4.8","20223006"
"160","19631227","000959","-13.4","-72.7","42","4.6","20223006"
"161","19631230","162048","-18.3","-70.1","150","4.6","20223006"
"162","19640103","132751","-5.3","-76","106","4.7","20223006"
"163","19640105","183356","-7.98","-74.35","147","5.5","20223006"
"164","19640110","053704","-17.52","-69.79","167","4.7","20223006"
"165","19640112","142153","-11.71","-74.72","152","4.7","20223006"
"166","19640117","132722","-3.44","-77.5","33","4.6","20223006"
"167","19640126","090935","-16.36","-71.62","116","6.2","20223006"
"168","19640128","130350","-14.82","-71.85","136","4.6","20223006"
"169","19640201","114737","-3.226","-77.77","87","5.4","20223006"
"170","19640204","062453","-4.26","-80.8","100","4.5","20223006"
"171","19640204","073808","-4","-80.79","67","4.9","20223006"
"172","19640215","044606","-7.68","-76","33","4.6","20223006"
"173","19640216","100338","-7.65","-75.67","35","4.9","20223006"
"174","19640218","103323","-8.3","-78","33","4.9","20223006"
"175","19640219","062912","-17.16","-70.72","134","4.5","20223006"
"176","19640220","072223","-9.32","-74.54","77","4.9","20223006"
"177","19640220","105743","-13.759","-75.62","65","4.9","20223006"
"178","19640221","135148","-7","-81.5","33","4.8","20223006"
"179","19640221","215213","-7.34","-79.15","36","4.8","20223006"
"180","19640223","043519","-17.29","-74.2","38","4.8","20223006"
"181","19640224","183834","-3.37","-78","33","5","20223006"
"182","19640307","045104","-18.6","-70.4","112","4.9","20223006"
"183","19640307","205328","-10.05","-78.895","37","4.7","20223006"
"184","19640310","224854","-18.2","-70.64","138","4.9","20223006"
"185","19640314","021402","-7.8","-75.4","33","4.7","20223006"
"186","19640319","222904","-15.483","-72.98","117","5.1","20223006"
"187","19640322","070537","-5.642","-77.02","116","5.5","20223006"
"188","19640322","175118","-14.196","-75.661","59","4.8","20223006"
"189","19640324","063619","-5.4","-79.4","33","4.5","20223006"
"190","19640326","052506","-5.137","-76.55","120","5.2","20223006"
"191","19640401","042655","-2.835","-80.263","35","4.9","20223006"
"192","19640403","134640","-8.714","-78.879","83","5.2","20223006"
"193","19640408","160109","-16.27","-73.4","100","4.5","20223006"
"194","19640409","215441","-18.38","-71.08","21","5.4","20223006"
"195","19640410","060911","-14.37","-75.7","68","4.6","20223006"
"196","19640419","194132","-13.787","-75.138","86","4.9","20223006"
"197","19640425","114615","-15.69","-70.46","219","4.5","20223006"
"198","19640425","133607","-15.59","-69.5","268","4.5","20223006"
"199","19640428","193331","-17.3","-70.1","127","4.7","20223006"
"200","19640429","040801","-3.408","-78.089","26","4.9","20223006"
"201","19640429","175948","-16.52","-72.2","88","4.9","20223006"
"202","19640504","192541","-14.3","-75.8","14","4.9","20223006"
